State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Sep 24 2021,131176,118313,781
United States,Sep 23 2021,134081,121491,1466
United States,Sep 22 2021,125240,125845,445
United States,Sep 21 2021,123696,130980,624
United States,Sep 20 2021,100413,136779,33
United States,Sep 19 2021,92941,138692,87
United States,Sep 18 2021,120649,141395,575
United States,Sep 17 2021,153417,145657,531
United States,Sep 16 2021,164563,147531,540
United States,Sep 15 2021,161186,150593,916
United States,Sep 14 2021,164286,152761,660
United States,Sep 13 2021,113807,146458,164
United States,Sep 12 2021,111858,145621,79
United States,Sep 11 2021,150482,146912,527
United States,Sep 10 2021,166535,145290,349
United States,Sep  9 2021,186001,147303,404
United States,Sep  8 2021,176358,146400,1347
United States,Sep  7 2021,120171,149919,90
United States,Sep  6 2021,107948,158703,404
United States,Sep  5 2021,120889,162687,277
United States,Sep  4 2021,139130,161843,417
United States,Sep  3 2021,180627,163294,388
United States,Sep  2 2021,179677,163274,401
United States,Sep  1 2021,200993,164324,323
United States,Aug 31 2021,181657,161322,504
United States,Aug 30 2021,135840,159898,83
United States,Aug 29 2021,114981,157869,179
United States,Aug 28 2021,149287,159341,361
United States,Aug 27 2021,180489,158323,201
United States,Aug 26 2021,187025,156150,253
United States,Aug 25 2021,179977,154340,257
United States,Aug 24 2021,171688,153159,367
United States,Aug 23 2021,121637,150983,69
United States,Aug 22 2021,125290,149782,70
United States,Aug 21 2021,142157,147453,376
United States,Aug 20 2021,165276,146919,1934
United States,Aug 19 2021,174359,144258,204
United States,Aug 18 2021,171710,140982,1040
United States,Aug 17 2021,156455,137306,250
United States,Aug 16 2021,113227,135204,130
United States,Aug 15 2021,108993,132771,74
United States,Aug 14 2021,138415,130666,167
United States,Aug 13 2021,146649,128242,97
United States,Aug 12 2021,151430,125323,266
United States,Aug 11 2021,145976,122175,270
United States,Aug 10 2021,141738,119065,183
United States,Aug  9 2021,96202,115200,82
United States,Aug  8 2021,94254,116580,42
United States,Aug  7 2021,121451,112150,99
United States,Aug  6 2021,126215,106422,7773
United States,Aug  5 2021,129393,103469,234
United States,Aug  4 2021,124207,99231,333
United States,Aug  3 2021,114683,94412,322
United States,Aug  2 2021,105860,90617,25
United States,Aug  1 2021,63241,85871,44
United States,Jul 31 2021,81358,83058,164
United States,Jul 30 2021,105541,78993,334
United States,Jul 29 2021,99728,73753,229
United States,Jul 28 2021,90479,69979,120
United States,Jul 27 2021,88113,65901,142
United States,Jul 26 2021,72637,60783,36
United States,Jul 25 2021,43555,57061,28
United States,Jul 24 2021,52904,54929,122
United States,Jul 23 2021,68858,51886,345
United States,Jul 22 2021,73311,48128,283
United States,Jul 21 2021,61932,43462,184
United States,Jul 20 2021,52288,40122,136
United States,Jul 19 2021,46584,37734,266
United States,Jul 18 2021,28630,35350,45
United States,Jul 17 2021,31602,33660,71
United States,Jul 16 2021,42549,32087,42
United States,Jul 15 2021,40652,29963,112
United States,Jul 14 2021,38551,28175,106
United States,Jul 13 2021,35570,25943,0
United States,Jul 12 2021,29899,23827,0
United States,Jul 11 2021,16802,20895,0
United States,Jul 10 2021,20588,19969,0
United States,Jul  9 2021,27685,18892,0
United States,Jul  8 2021,28136,17359,155785
United States,Jul  7 2021,22923,16008,0
United States,Jul  6 2021,20757,14393,0
United States,Jul  5 2021,9374,13688,0
United States,Jul  4 2021,10325,13913,4
United States,Jul  3 2021,13047,13936,0
United States,Jul  2 2021,16955,13944,0
United States,Jul  1 2021,18680,13672,0
United States,Jun 30 2021,11613,13217,0
United States,Jun 29 2021,15826,13526,0
United States,Jun 28 2021,10946,13215,0
United States,Jun 27 2021,10485,12912,0
United States,Jun 26 2021,13103,12677,0
United States,Jun 25 2021,15056,12563,0
