,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
52,7.659097353617351,0.05399556008261495,0.9657301902770996,0.026063828638132534,15,600,"{'max_depth': 15, 'n_estimators': 600}",0.8146868718535046,0.8067941462299204,0.7935819489085958,0.8050209889973403,0.008706798418715625,1,0.9991614157183611,0.9985808672833723,0.9991625584082663,0.9989682804699999,0.00027394288859151303,0.7354776764282285,0.7292366778684589,0.7253960633701392,0.7300368058889423,0.004154506316449728,10,0.985357657225156,0.9791166586653864,0.9841574651944311,0.9828772603616578,0.002703911865693048
51,6.500475645065308,0.0443934525765704,0.7770013014475504,0.006149574461716866,15,500,"{'max_depth': 15, 'n_estimators': 500}",0.8146771903295407,0.806642011643367,0.793565813422143,0.8049616717983502,0.00870019981485535,2,0.99914136161377,0.9985645010975716,0.9991360497974627,0.9989473041696014,0.00027069133444417145,0.7359577532405185,0.7311569851176188,0.7273163706192991,0.7314770363258122,0.003535081138482076,2,0.9848775804128661,0.9783965434469515,0.9843975036005761,0.9825572091534646,0.002948555892572963
54,13.02296773592631,0.06860051424843022,1.6305156548817952,0.030871171366311827,15,1000,"{'max_depth': 15, 'n_estimators': 1000}",0.8143157467682152,0.8068190409804474,0.7934201330301704,0.804851640259611,0.008643289017870127,3,0.9991775512048137,0.9987011933254545,0.9992114264560086,0.9990300569954256,0.0002329525963667583,0.7335573691790687,0.7316370619299087,0.7229956793086894,0.7293967034725556,0.004593599006051325,21,0.985117618819011,0.9786365818530965,0.985117618819011,0.9829572731637062,0.003055190125145892
50,5.362413962682088,0.29395643217333245,0.6536494096120199,0.01603066501038013,15,400,"{'max_depth': 15, 'n_estimators': 400}",0.8145527135928597,0.8064211859859152,0.7934210550579679,0.8047983182122476,0.008702950571192256,4,0.999115775342395,0.9986020741720151,0.9990899478656303,0.9989359324600136,0.0002363088120629829,0.7364378300528085,0.727796447431589,0.7249159865578493,0.7297167546807489,0.004895842067779939,15,0.985357657225156,0.9805568891022564,0.9841574651944311,0.9833573371739478,0.002039934194908299
55,15.644419034322103,0.06562935640725721,2.058420260747274,0.0405402901854471,15,1200,"{'max_depth': 15, 'n_estimators': 1200}",0.8142558135246281,0.806657686115921,0.7933915501684545,0.8047683499363346,0.008621931908358754,5,0.999193456184317,0.9987698852038848,0.9992208773520342,0.9990614062467453,0.00020644025597837924,0.7330772923667787,0.7297167546807489,0.7244359097455593,0.7290766522643622,0.0035567468028313096,24,0.985117618819011,0.9791166586653864,0.985357657225156,0.9831973115698512,0.002887120907772245
53,10.406225522359213,0.06367616096000919,1.296822468439738,0.05113447882795928,15,800,"{'max_depth': 15, 'n_estimators': 800}",0.8138883766389438,0.8069785517893794,0.793427509252549,0.8047648125602906,0.008498519658611633,6,0.9992008324066952,0.9986689219731718,0.9991874534514558,0.9990190692771076,0.0002476517715811872,0.7340374459913587,0.7316370619299087,0.7229956793086894,0.7295567290766524,0.004741729041455957,18,0.985837734037446,0.9791166586653864,0.9843975036005761,0.9831172987678028,0.002889337507644086
49,4.3935277462005615,0.06357550428933438,0.4819489320119222,0.015793198046039604,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.8140649491950505,0.8064013623882733,0.7935100307404066,0.8046587807745768,0.008481494018530758,7,0.9990874229876282,0.9985598909043885,0.9990537578491421,0.9989003572470528,0.00024113804241941987,0.7359577532405185,0.728276524243879,0.7249159865578493,0.7297167546807489,0.004621388727218318,15,0.985357657225156,0.9795967354776765,0.9834373499759962,0.9827972475596095,0.0023950439345648378
48,3.02688201268514,0.49891442467321995,0.3139809767405192,0.008896495301640266,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.8132185073856197,0.807011744790082,0.7934851359898799,0.8045717960551939,0.008238790325131163,8,0.9990523859313312,0.9984782904850453,0.9989414996451303,0.998824058687169,0.00024865059731371737,0.7407585213634181,0.728756601056169,0.7249159865578493,0.7314770363258122,0.006747693596513989,2,0.9848775804128661,0.9769563130100816,0.9841574651944311,0.9819971195391263,0.003576491700852499
66,8.255192518234253,0.0754712736557191,1.1016747156778972,0.04974385021086828,25,600,"{'max_depth': 25, 'n_estimators': 600}",0.8140649491950505,0.806996070317528,0.7922569949638842,0.8044393381588208,0.009084762937126659,9,0.9999866305969393,0.9999989627065337,0.9999905491039743,0.9999920474691492,5.144839188267915e-06,0.7383581373019683,0.7239558329332694,0.727796447431589,0.7300368058889423,0.006089389531265934,10,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
67,11.134361426035563,0.03053075255592357,1.5733877023061116,0.03438996661472218,25,800,"{'max_depth': 25, 'n_estimators': 800}",0.8138127685470338,0.8070477038741765,0.792080887654601,0.804313786691937,0.009080175811448744,10,0.9999875526247366,0.9999989627065338,0.9999889355363603,0.9999918169558768,5.084251860898867e-06,0.7383581373019683,0.7253960633701392,0.727796447431589,0.7305168827012322,0.005630536753323489,6,0.9983197311569851,0.999279884781565,0.9983197311569851,0.9986397823651784,0.00045262075928086316
