Data Table for Daily Case Trends - Georgia
Date generated: Mon Sep 27 2021 01:37:11 GMT-0500 (Central Daylight Time)
State,Date,New Cases,7-Day Moving Avg
Georgia,Sep 24 2021,4300,4631
Georgia,Sep 23 2021,4553,4816
Georgia,Sep 22 2021,4723,5001
Georgia,Sep 21 2021,7493,5208
Georgia,Sep 20 2021,3785,5184
Georgia,Sep 19 2021,3784,5401
Georgia,Sep 18 2021,3784,5617
Georgia,Sep 17 2021,5592,5834
Georgia,Sep 16 2021,5852,6218
Georgia,Sep 15 2021,6167,6465
Georgia,Sep 14 2021,7327,6840
Georgia,Sep 13 2021,5302,6719
Georgia,Sep 12 2021,5300,6887
Georgia,Sep 11 2021,5300,7055
Georgia,Sep 10 2021,8278,7222
Georgia,Sep  9 2021,7586,7757
Georgia,Sep  8 2021,8792,7875
Georgia,Sep  7 2021,6479,8005
Georgia,Sep  6 2021,6475,8582
Georgia,Sep  5 2021,6475,8759
Georgia,Sep  4 2021,6475,8936
Georgia,Sep  3 2021,12018,9112
Georgia,Sep  2 2021,8412,8979
Georgia,Sep  1 2021,9702,9323
Georgia,Aug 31 2021,10521,9462
Georgia,Aug 30 2021,7713,9272
Georgia,Aug 29 2021,7711,9173
Georgia,Aug 28 2021,7711,9075
Georgia,Aug 27 2021,11084,8977
Georgia,Aug 26 2021,10823,8762
Georgia,Aug 25 2021,10677,8621
Georgia,Aug 24 2021,9186,8241
Georgia,Aug 23 2021,7024,8020
Georgia,Aug 22 2021,7024,7940
Georgia,Aug 21 2021,7024,7861
Georgia,Aug 20 2021,9581,7781
Georgia,Aug 19 2021,9836,7443
Georgia,Aug 18 2021,8014,7040
Georgia,Aug 17 2021,7639,6889
Georgia,Aug 16 2021,6467,6790
Georgia,Aug 15 2021,6466,6488
Georgia,Aug 14 2021,6466,6185
Georgia,Aug 13 2021,7216,5882
Georgia,Aug 12 2021,7016,5709
Georgia,Aug 11 2021,6958,5536
Georgia,Aug 10 2021,6945,5236
Georgia,Aug  9 2021,4349,4792
Georgia,Aug  8 2021,4346,4717
Georgia,Aug  7 2021,4346,4643
Georgia,Aug  6 2021,6005,4570
Georgia,Aug  5 2021,5806,4227
Georgia,Aug  4 2021,4860,4056
Georgia,Aug  3 2021,3832,3909
Georgia,Aug  2 2021,3829,3874
Georgia,Aug  1 2021,3829,3618
Georgia,Jul 31 2021,3829,3362
Georgia,Jul 30 2021,3604,3106
Georgia,Jul 29 2021,4612,2948
Georgia,Jul 28 2021,3828,2595
Georgia,Jul 27 2021,3587,2367
Georgia,Jul 26 2021,2039,2078
Georgia,Jul 25 2021,2037,1944
Georgia,Jul 24 2021,2037,1810
Georgia,Jul 23 2021,2497,1675
Georgia,Jul 22 2021,2144,1474
Georgia,Jul 21 2021,2229,1362
Georgia,Jul 20 2021,1569,1223
Georgia,Jul 19 2021,1098,1158
Georgia,Jul 18 2021,1096,1085
Georgia,Jul 17 2021,1096,1012
Georgia,Jul 16 2021,1086,940
Georgia,Jul 15 2021,1362,914
Georgia,Jul 14 2021,1260,852
Georgia,Jul 13 2021,1109,767
Georgia,Jul 12 2021,589,658
Georgia,Jul 11 2021,587,623
Georgia,Jul 10 2021,587,588
Georgia,Jul  9 2021,904,552
Georgia,Jul  8 2021,932,485
Georgia,Jul  7 2021,667,426
Georgia,Jul  6 2021,344,415
Georgia,Jul  5 2021,341,438
Georgia,Jul  4 2021,341,416
Georgia,Jul  3 2021,341,400
Georgia,Jul  2 2021,433,409
Georgia,Jul  1 2021,520,394
Georgia,Jun 30 2021,590,371
Georgia,Jun 29 2021,502,342
Georgia,Jun 28 2021,190,321
Georgia,Jun 27 2021,228,320
Georgia,Jun 26 2021,402,334
Georgia,Jun 25 2021,332,322
Georgia,Jun 24 2021,357,320
Georgia,Jun 23 2021,389,328
Georgia,Jun 22 2021,351,343
Georgia,Jun 21 2021,184,337
Georgia,Jun 20 2021,323,336
Georgia,Jun 19 2021,321,322
Georgia,Jun 18 2021,321,330
Georgia,Jun 17 2021,408,346
Georgia,Jun 16 2021,498,353
Georgia,Jun 15 2021,307,341
Georgia,Jun 14 2021,180,353
Georgia,Jun 13 2021,223,365
Georgia,Jun 12 2021,375,373
Georgia,Jun 11 2021,434,368
