Data Table for Total Cases - Alabama
Date generated: Mon Sep 27 2021 02:35:41 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Alabama,Sep 24 2021,787421
Alabama,Sep 23 2021,784484
Alabama,Sep 22 2021,781915
Alabama,Sep 21 2021,778549
Alabama,Sep 20 2021,775531
Alabama,Sep 19 2021,772311
Alabama,Sep 18 2021,770391
Alabama,Sep 17 2021,768301
Alabama,Sep 16 2021,764839
Alabama,Sep 15 2021,761865
Alabama,Sep 14 2021,757893
Alabama,Sep 13 2021,754242
Alabama,Sep 12 2021,750298
Alabama,Sep 11 2021,749516
Alabama,Sep 10 2021,748611
Alabama,Sep  9 2021,746816
Alabama,Sep  8 2021,744166
Alabama,Sep  7 2021,741003
Alabama,Sep  6 2021,736572
Alabama,Sep  5 2021,734432
Alabama,Sep  4 2021,732449
Alabama,Sep  3 2021,730458
Alabama,Sep  2 2021,727137
Alabama,Sep  1 2021,723341
Alabama,Aug 31 2021,718956
Alabama,Aug 30 2021,714229
Alabama,Aug 29 2021,709194
Alabama,Aug 28 2021,706701
Alabama,Aug 27 2021,704141
Alabama,Aug 26 2021,699738
Alabama,Aug 25 2021,695177
Alabama,Aug 24 2021,690508
Alabama,Aug 23 2021,685582
Alabama,Aug 22 2021,679811
Alabama,Aug 21 2021,677150
Alabama,Aug 20 2021,674418
Alabama,Aug 19 2021,669979
Alabama,Aug 18 2021,665185
Alabama,Aug 17 2021,660248
Alabama,Aug 16 2021,654968
Alabama,Aug 15 2021,649351
Alabama,Aug 14 2021,646495
Alabama,Aug 13 2021,643806
Alabama,Aug 12 2021,639898
Alabama,Aug 11 2021,635711
Alabama,Aug 10 2021,631248
Alabama,Aug  9 2021,626597
Alabama,Aug  8 2021,621560
Alabama,Aug  7 2021,618792
Alabama,Aug  6 2021,616176
Alabama,Aug  5 2021,612631
Alabama,Aug  4 2021,608775
Alabama,Aug  3 2021,604920
Alabama,Aug  2 2021,600785
Alabama,Aug  1 2021,596364
Alabama,Jul 31 2021,593895
Alabama,Jul 30 2021,591776
Alabama,Jul 29 2021,588940
Alabama,Jul 28 2021,585951
Alabama,Jul 27 2021,582806
Alabama,Jul 26 2021,579933
Alabama,Jul 25 2021,576929
Alabama,Jul 24 2021,575142
