Data Table for Total Cases - Alaska
Date generated: Mon Sep 27 2021 02:28:44 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Alaska,Sep 24 2021,103113
Alaska,Sep 23 2021,101384
Alaska,Sep 22 2021,100111
Alaska,Sep 21 2021,98891
Alaska,Sep 20 2021,98061
Alaska,Sep 19 2021,97374
Alaska,Sep 18 2021,96688
Alaska,Sep 17 2021,96002
Alaska,Sep 16 2021,95132
Alaska,Sep 15 2021,94105
Alaska,Sep 14 2021,93039
Alaska,Sep 13 2021,92363
Alaska,Sep 12 2021,91890
Alaska,Sep 11 2021,91418
Alaska,Sep 10 2021,90946
Alaska,Sep  9 2021,90271
Alaska,Sep  8 2021,89466
Alaska,Sep  7 2021,88658
Alaska,Sep  6 2021,88143
Alaska,Sep  5 2021,87628
Alaska,Sep  4 2021,87113
Alaska,Sep  3 2021,86598
Alaska,Sep  2 2021,86028
Alaska,Sep  1 2021,85358
Alaska,Aug 31 2021,84597
Alaska,Aug 30 2021,83991
Alaska,Aug 29 2021,83620
Alaska,Aug 28 2021,83250
Alaska,Aug 27 2021,82880
Alaska,Aug 26 2021,82371
Alaska,Aug 25 2021,81671
Alaska,Aug 24 2021,81097
Alaska,Aug 23 2021,80533
Alaska,Aug 22 2021,80181
Alaska,Aug 21 2021,79830
Alaska,Aug 20 2021,79479
Alaska,Aug 19 2021,79038
Alaska,Aug 18 2021,78407
Alaska,Aug 17 2021,77774
Alaska,Aug 16 2021,77343
Alaska,Aug 15 2021,77009
Alaska,Aug 14 2021,76676
Alaska,Aug 13 2021,76343
Alaska,Aug 12 2021,76030
Alaska,Aug 11 2021,75654
Alaska,Aug 10 2021,75295
Alaska,Aug  9 2021,75056
Alaska,Aug  8 2021,74784
Alaska,Aug  7 2021,74514
Alaska,Aug  6 2021,74244
Alaska,Aug  5 2021,73931
Alaska,Aug  4 2021,73584
Alaska,Aug  3 2021,73257
Alaska,Aug  2 2021,72988
Alaska,Aug  1 2021,72753
Alaska,Jul 31 2021,72519
Alaska,Jul 30 2021,72285
Alaska,Jul 29 2021,72021
Alaska,Jul 28 2021,71757
Alaska,Jul 27 2021,71521
Alaska,Jul 26 2021,71286
Alaska,Jul 25 2021,71107
Alaska,Jul 24 2021,70929
Alaska,Jul 23 2021,70751
Alaska,Jul 22 2021,70539
Alaska,Jul 21 2021,70328
Alaska,Jul 20 2021,70109
Alaska,Jul 19 2021,69891
Alaska,Jul 18 2021,69745
Alaska,Jul 17 2021,69599
Alaska,Jul 16 2021,69453
Alaska,Jul 15 2021,69320
Alaska,Jul 14 2021,69187
Alaska,Jul 13 2021,69069
Alaska,Jul 12 2021,68951
Alaska,Jul 11 2021,68897
Alaska,Jul 10 2021,68844
Alaska,Jul  9 2021,68791
Alaska,Jul  8 2021,68732
Alaska,Jul  7 2021,68674
Alaska,Jul  6 2021,68634
Alaska,Jul  5 2021,68595
Alaska,Jul  4 2021,68556
Alaska,Jul  3 2021,68517
Alaska,Jul  2 2021,68478
Alaska,Jul  1 2021,68428
Alaska,Jun 30 2021,68379
Alaska,Jun 29 2021,68339
Alaska,Jun 28 2021,68300
Alaska,Jun 27 2021,68272
Alaska,Jun 26 2021,68245
Alaska,Jun 25 2021,68218
Alaska,Jun 24 2021,68198
Alaska,Jun 23 2021,68179
Alaska,Jun 22 2021,68145
Alaska,Jun 21 2021,68112
Alaska,Jun 20 2021,68031
Alaska,Jun 19 2021,68005
Alaska,Jun 18 2021,67982
Alaska,Jun 17 2021,67959
Alaska,Jun 16 2021,67936
Alaska,Jun 15 2021,67910
Alaska,Jun 14 2021,67885
Alaska,Jun 13 2021,67863
Alaska,Jun 12 2021,67843
Alaska,Jun 11 2021,67823
Alaska,Jun 10 2021,67793
Alaska,Jun  9 2021,67763
Alaska,Jun  8 2021,67730
Alaska,Jun  7 2021,67698
Alaska,Jun  6 2021,67680
Alaska,Jun  5 2021,67664
Alaska,Jun  4 2021,67648
Alaska,Jun  3 2021,67591
Alaska,Jun  2 2021,67541
Alaska,Jun  1 2021,67507
Alaska,May 31 2021,67481
Alaska,May 30 2021,67455
Alaska,May 29 2021,67429
Alaska,May 28 2021,67403
Alaska,May 27 2021,67357
Alaska,May 26 2021,67317
Alaska,May 25 2021,67252
Alaska,May 24 2021,67199
Alaska,May 23 2021,67167
Alaska,May 22 2021,67137
Alaska,May 21 2021,67107
Alaska,May 20 2021,67043
Alaska,May 19 2021,66963
Alaska,May 18 2021,66867
Alaska,May 17 2021,66814
Alaska,May 16 2021,66769
Alaska,May 15 2021,66726
Alaska,May 14 2021,66683
Alaska,May 13 2021,66574
Alaska,May 12 2021,66491
Alaska,May 11 2021,66407
Alaska,May 10 2021,66350
Alaska,May  9 2021,66272
Alaska,May  8 2021,66196
Alaska,May  7 2021,66120
Alaska,May  6 2021,66004
Alaska,May  5 2021,65908
Alaska,May  4 2021,65762
Alaska,May  3 2021,65678
Alaska,May  2 2021,65587
Alaska,May  1 2021,65498
Alaska,Apr 30 2021,65409
Alaska,Apr 29 2021,65266
Alaska,Apr 28 2021,65100
Alaska,Apr 27 2021,64916
Alaska,Apr 26 2021,64786
Alaska,Apr 25 2021,64703
Alaska,Apr 24 2021,64503
Alaska,Apr 23 2021,64367
Alaska,Apr 22 2021,64225
Alaska,Apr 21 2021,64007
Alaska,Apr 20 2021,63794
Alaska,Apr 19 2021,63696
Alaska,Apr 18 2021,63580
Alaska,Apr 17 2021,63439
Alaska,Apr 16 2021,63262
Alaska,Apr 15 2021,63081
Alaska,Apr 14 2021,62895
Alaska,Apr 13 2021,62698
Alaska,Apr 12 2021,62566
Alaska,Apr 11 2021,62488
Alaska,Apr 10 2021,62391
Alaska,Apr  9 2021,62212
Alaska,Apr  8 2021,61969
Alaska,Apr  7 2021,61747
Alaska,Apr  6 2021,61530
Alaska,Apr  5 2021,61446
Alaska,Apr  4 2021,61329
Alaska,Apr  3 2021,61197
Alaska,Apr  2 2021,60964
Alaska,Apr  1 2021,60768
Alaska,Mar 31 2021,60538
Alaska,Mar 30 2021,60379
Alaska,Mar 29 2021,60293
Alaska,Mar 28 2021,60164
Alaska,Mar 27 2021,59965
Alaska,Mar 26 2021,59766
Alaska,Mar 25 2021,59589
Alaska,Mar 24 2021,59443
Alaska,Mar 23 2021,59233
Alaska,Mar 22 2021,59060
Alaska,Mar 21 2021,59010
Alaska,Mar 20 2021,58893
Alaska,Mar 19 2021,58708
Alaska,Mar 18 2021,58645
Alaska,Mar 17 2021,58493
Alaska,Mar 16 2021,58317
Alaska,Mar 15 2021,58212
Alaska,Mar 14 2021,58117
Alaska,Mar 13 2021,58010
Alaska,Mar 12 2021,57841
Alaska,Mar 11 2021,57731
Alaska,Mar 10 2021,57516
Alaska,Mar  9 2021,57370
Alaska,Mar  8 2021,57280
Alaska,Mar  7 2021,57190
Alaska,Mar  6 2021,57088
Alaska,Mar  5 2021,56959
Alaska,Mar  4 2021,56823
Alaska,Mar  3 2021,56696
Alaska,Mar  2 2021,56523
Alaska,Mar  1 2021,56398
Alaska,Feb 28 2021,56331
Alaska,Feb 27 2021,56212
Alaska,Feb 26 2021,56052
Alaska,Feb 25 2021,55950
Alaska,Feb 24 2021,55800
Alaska,Feb 23 2021,55623
Alaska,Feb 22 2021,55566
Alaska,Feb 21 2021,55505
Alaska,Feb 20 2021,55392
