Data Table for Total Cases - California
Date generated: Mon Sep 27 2021 02:39:20 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
California,Sep 24 2021,4653610
California,Sep 23 2021,4646334
California,Sep 22 2021,4645605
California,Sep 21 2021,4641478
California,Sep 20 2021,4638924
California,Sep 19 2021,4635308
California,Sep 18 2021,4628575
California,Sep 17 2021,4620957
California,Sep 16 2021,4612542
California,Sep 15 2021,4603406
California,Sep 14 2021,4593128
California,Sep 13 2021,4588023
California,Sep 12 2021,4581926
California,Sep 11 2021,4572366
California,Sep 10 2021,4561794
California,Sep  9 2021,4549928
California,Sep  8 2021,4536816
California,Sep  7 2021,4530009
California,Sep  6 2021,4524491
California,Sep  5 2021,4517445
California,Sep  4 2021,4506963
California,Sep  3 2021,4495411
California,Sep  2 2021,4482028
California,Sep  1 2021,4468968
California,Aug 31 2021,4454996
California,Aug 30 2021,4448073
California,Aug 29 2021,4439906
California,Aug 28 2021,4428027
California,Aug 27 2021,4414880
California,Aug 26 2021,4400471
California,Aug 25 2021,4385646
California,Aug 24 2021,4369344
California,Aug 23 2021,4361362
California,Aug 22 2021,4351936
California,Aug 21 2021,4337757
California,Aug 20 2021,4323179
California,Aug 19 2021,4307348
California,Aug 18 2021,4291155
California,Aug 17 2021,4274303
California,Aug 16 2021,4265583
California,Aug 15 2021,4255363
California,Aug 14 2021,4240918
California,Aug 13 2021,4225562
California,Aug 12 2021,4209417
California,Aug 11 2021,4192525
California,Aug 10 2021,4175594
California,Aug  9 2021,4166501
California,Aug  8 2021,4156326
California,Aug  7 2021,4142916
California,Aug  6 2021,4128523
California,Aug  5 2021,4113845
California,Aug  4 2021,4098733
California,Aug  3 2021,4084039
California,Aug  2 2021,4075140
California,Aug  1 2021,4066234
California,Jul 31 2021,4054618
California,Jul 30 2021,4042335
California,Jul 29 2021,4030000
California,Jul 28 2021,4018256
California,Jul 27 2021,4006032
California,Jul 26 2021,3999339
California,Jul 25 2021,3992308
California,Jul 24 2021,3983855
California,Jul 23 2021,3975199
California,Jul 22 2021,3966007
California,Jul 21 2021,3957174
California,Jul 20 2021,3948262
California,Jul 19 2021,3943068
California,Jul 18 2021,3938036
California,Jul 17 2021,3931709
California,Jul 16 2021,3925488
California,Jul 15 2021,3919488
California,Jul 14 2021,3913744
California,Jul 13 2021,3907983
California,Jul 12 2021,3904609
California,Jul 11 2021,3901281
California,Jul 10 2021,3897410
California,Jul  9 2021,3893560
California,Jul  8 2021,3889522
California,Jul  7 2021,3885641
California,Jul  6 2021,3882667
California,Jul  5 2021,3880997
California,Jul  4 2021,3879187
California,Jul  3 2021,3877013
California,Jul  2 2021,3874708
California,Jul  1 2021,3872579
California,Jun 30 2021,3870567
California,Jun 29 2021,3868520
California,Jun 28 2021,3867263
California,Jun 27 2021,3866121
California,Jun 26 2021,3864718
California,Jun 25 2021,3863247
California,Jun 24 2021,3861940
California,Jun 23 2021,3860551
California,Jun 22 2021,3859088
California,Jun 21 2021,3858246
California,Jun 20 2021,3857437
California,Jun 19 2021,3856423
California,Jun 18 2021,3855333
California,Jun 17 2021,3854204
California,Jun 16 2021,3853112
California,Jun 15 2021,3851904
California,Jun 14 2021,3851168
California,Jun 13 2021,3850452
California,Jun 12 2021,3849548
California,Jun 11 2021,3848619
California,Jun 10 2021,3847621
California,Jun  9 2021,3846503
California,Jun  8 2021,3845401
California,Jun  7 2021,3844735
California,Jun  6 2021,3844040
California,Jun  5 2021,3843099
California,Jun  4 2021,3842024
California,Jun  3 2021,3840924
California,Jun  2 2021,3839615
California,Jun  1 2021,3838966
California,May 31 2021,3838327
California,May 30 2021,3837663
California,May 29 2021,3836735
California,May 28 2021,3835742
California,May 27 2021,3834706
California,May 26 2021,3833575
California,May 25 2021,3832275
California,May 24 2021,3831568
California,May 23 2021,3830812
California,May 22 2021,3829805
California,May 21 2021,3828731
California,May 20 2021,3827472
California,May 19 2021,3826166
California,May 18 2021,3824724
California,May 17 2021,3823833
California,May 16 2021,3822850
California,May 15 2021,3821595
California,May 14 2021,3820317
California,May 13 2021,3818868
California,May 12 2021,3817300
California,May 11 2021,3815555
California,May 10 2021,3814526
California,May  9 2021,3813418
California,May  8 2021,3811871
California,May  7 2021,3810238
California,May  6 2021,3808421
California,May  5 2021,3806687
California,May  4 2021,3804591
California,May  3 2021,3803394
California,May  2 2021,3802030
California,May  1 2021,3800254
California,Apr 30 2021,3798452
California,Apr 29 2021,3796481
California,Apr 28 2021,3794456
California,Apr 27 2021,3792185
California,Apr 26 2021,3790879
California,Apr 25 2021,3789419
California,Apr 24 2021,3787447
California,Apr 23 2021,3785482
California,Apr 22 2021,3783332
California,Apr 21 2021,3781035
California,Apr 20 2021,3778483
California,Apr 19 2021,3776922
California,Apr 18 2021,3775245
California,Apr 17 2021,3773047
California,Apr 16 2021,3770747
California,Apr 15 2021,3768179
California,Apr 14 2021,3765573
California,Apr 13 2021,3762668
California,Apr 12 2021,3760991
California,Apr 11 2021,3759023
California,Apr 10 2021,3756597
California,Apr  9 2021,3754168
California,Apr  8 2021,3751386
California,Apr  7 2021,3748651
California,Apr  6 2021,3745554
California,Apr  5 2021,3743883
California,Apr  4 2021,3742033
California,Apr  3 2021,3739633
California,Apr  2 2021,3737120
California,Apr  1 2021,3734579
California,Mar 31 2021,3731978
California,Mar 30 2021,3729055
California,Mar 29 2021,3727317
California,Mar 28 2021,3725541
California,Mar 27 2021,3723061
California,Mar 26 2021,3720609
California,Mar 25 2021,3717753
California,Mar 24 2021,3715027
California,Mar 23 2021,3712097
California,Mar 22 2021,3710361
California,Mar 21 2021,3708505
California,Mar 20 2021,3706157
California,Mar 19 2021,3703773
California,Mar 18 2021,3700998
California,Mar 17 2021,3698312
California,Mar 16 2021,3695191
California,Mar 15 2021,3693426
California,Mar 14 2021,3691388
California,Mar 13 2021,3688676
California,Mar 12 2021,3685869
California,Mar 11 2021,3682877
California,Mar 10 2021,3679861
California,Mar  9 2021,3676263
California,Mar  8 2021,3674171
California,Mar  7 2021,3671790
California,Mar  6 2021,3668648
California,Mar  5 2021,3665514
California,Mar  4 2021,3662085
California,Mar  3 2021,3658598
California,Mar  2 2021,3654614
California,Mar  1 2021,3652278
California,Feb 28 2021,3649560
California,Feb 27 2021,3645936
California,Feb 26 2021,3642289
California,Feb 25 2021,3638155
California,Feb 24 2021,3633787
California,Feb 23 2021,3628729
California,Feb 22 2021,3625884
California,Feb 21 2021,3622539
California,Feb 20 2021,3618009
California,Feb 19 2021,3613276
California,Feb 18 2021,3607891
California,Feb 17 2021,3601884
California,Feb 16 2021,3596280
California,Feb 15 2021,3592548
California,Feb 14 2021,3587831
California,Feb 13 2021,3581280
California,Feb 12 2021,3574282
California,Feb 11 2021,3566403
California,Feb 10 2021,3558228
California,Feb  9 2021,3548234
California,Feb  8 2021,3542702
California,Feb  7 2021,3535588
California,Feb  6 2021,3525593
California,Feb  5 2021,3514974
California,Feb  4 2021,3502831
California,Feb  3 2021,3489574
California,Feb  2 2021,3473530
California,Feb  1 2021,3465120
California,Jan 31 2021,3454476
California,Jan 30 2021,3440946
California,Jan 29 2021,3425668
California,Jan 28 2021,3409167
California,Jan 27 2021,3390460
California,Jan 26 2021,3369195
California,Jan 25 2021,3358273
California,Jan 24 2021,3344139
California,Jan 23 2021,3323236
California,Jan 22 2021,3300004
California,Jan 21 2021,3273604
California,Jan 20 2021,3244821
California,Jan 19 2021,3219823
California,Jan 18 2021,3205426
California,Jan 17 2021,3184620
California,Jan 16 2021,3154322
California,Jan 15 2021,3121384
California,Jan 14 2021,3085416
California,Jan 13 2021,3045429
California,Jan 12 2021,3001412
California,Jan 11 2021,2981271
California,Jan 10 2021,2951451
California,Jan  9 2021,2908436
California,Jan  8 2021,2861258
California,Jan  7 2021,2808662
California,Jan  6 2021,2751668
California,Jan  5 2021,2688659
California,Jan  4 2021,2659981
California,Jan  3 2021,2620673
California,Jan  2 2021,2600368
California,Jan  1 2021,2562617
California,Dec 31 2020,2506077
California,Dec 30 2020,2445142
California,Dec 29 2020,2384661
California,Dec 28 2020,2356975
California,Dec 27 2020,2320298
California,Dec 26 2020,2306621
California,Dec 25 2020,2278377
California,Dec 24 2020,2231079
California,Dec 23 2020,2179917
California,Dec 22 2020,2129182
California,Dec 21 2020,2106742
California,Dec 20 2020,2075375
California,Dec 19 2020,2031902
California,Dec 18 2020,1985205
California,Dec 17 2020,1937197
California,Dec 16 2020,1886597
California,Dec 15 2020,1834824
California,Dec 14 2020,1812296
California,Dec 13 2020,1780206
California,Dec 12 2020,1738109
California,Dec 11 2020,1695353
California,Dec 10 2020,1651949
California,Dec  9 2020,1609032
California,Dec  8 2020,1566301
California,Dec  7 2020,1546815
California,Dec  6 2020,1521297
California,Dec  5 2020,1488165
California,Dec  4 2020,1454952
California,Dec  3 2020,1420154
California,Dec  2 2020,1384381
California,Dec  1 2020,1350579
California,Nov 30 2020,1333769
California,Nov 29 2020,1314800
California,Nov 28 2020,1295862
California,Nov 27 2020,1286324
California,Nov 26 2020,1264596
California,Nov 25 2020,1243214
California,Nov 24 2020,1221331
California,Nov 23 2020,1210608
California,Nov 22 2020,1197704
California,Nov 21 2020,1179541
California,Nov 20 2020,1162360
California,Nov 19 2020,1144447
California,Nov 18 2020,1126736
California,Nov 17 2020,1108528
California,Nov 16 2020,1099015
California,Nov 15 2020,1088760
California,Nov 14 2020,1075877
California,Nov 13 2020,1063936
California,Nov 12 2020,1052955
