Data Table for Total Cases - Florida
Date generated: Mon Sep 27 2021 02:38:29 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Florida,Sep 24 2021,3546292
Florida,Sep 23 2021,3539218
Florida,Sep 22 2021,3531465
Florida,Sep 21 2021,3525194
Florida,Sep 20 2021,3515036
Florida,Sep 19 2021,3508047
Florida,Sep 18 2021,3501692
Florida,Sep 17 2021,3492963
Florida,Sep 16 2021,3483008
Florida,Sep 15 2021,3471472
Florida,Sep 14 2021,3462066
Florida,Sep 13 2021,3451188
Florida,Sep 12 2021,3440287
Florida,Sep 11 2021,3433776
Florida,Sep 10 2021,3418371
Florida,Sep  9 2021,3409148
Florida,Sep  8 2021,3391243
Florida,Sep  7 2021,3378750
Florida,Sep  6 2021,3364826
Florida,Sep  5 2021,3354633
Florida,Sep  4 2021,3343499
Florida,Sep  3 2021,3326224
Florida,Sep  2 2021,3309107
Florida,Sep  1 2021,3291008
Florida,Aug 31 2021,3269441
Florida,Aug 30 2021,3250255
Florida,Aug 29 2021,3231512
Florida,Aug 28 2021,3218423
Florida,Aug 27 2021,3200689
Florida,Aug 26 2021,3179301
Florida,Aug 25 2021,3151523
Florida,Aug 24 2021,3130101
Florida,Aug 23 2021,3103758
Florida,Aug 22 2021,3082435
Florida,Aug 21 2021,3067751
Florida,Aug 20 2021,3049705
Florida,Aug 19 2021,3027448
Florida,Aug 18 2021,3002957
Florida,Aug 17 2021,2978466
Florida,Aug 16 2021,2954939
Florida,Aug 15 2021,2933194
Florida,Aug 14 2021,2915972
Florida,Aug 13 2021,2899541
Florida,Aug 12 2021,2877257
Florida,Aug 11 2021,2851304
Florida,Aug 10 2021,2827395
Florida,Aug  9 2021,2802652
Florida,Aug  8 2021,2782188
Florida,Aug  7 2021,2766883
Florida,Aug  6 2021,2747326
Florida,Aug  5 2021,2725825
Florida,Aug  4 2021,2701659
Florida,Aug  3 2021,2678886
Florida,Aug  2 2021,2658667
Florida,Aug  1 2021,2641590
Florida,Jul 31 2021,2628436
Florida,Jul 30 2021,2610677
Florida,Jul 29 2021,2590898
Florida,Jul 28 2021,2569181
Florida,Jul 27 2021,2552195
Florida,Jul 26 2021,2534700
Florida,Jul 25 2021,2518641
Florida,Jul 24 2021,2508380
Florida,Jul 23 2021,2495330
Florida,Jul 22 2021,2480501
Florida,Jul 21 2021,2466243
Florida,Jul 20 2021,2452865
Florida,Jul 19 2021,2441136
Florida,Jul 18 2021,2431851
Florida,Jul 17 2021,2424702
Florida,Jul 16 2021,2416738
Florida,Jul 15 2021,2407501
Florida,Jul 14 2021,2398969
Florida,Jul 13 2021,2390721
Florida,Jul 12 2021,2383686
Florida,Jul 11 2021,2377216
Florida,Jul 10 2021,2372663
Florida,Jul  9 2021,2367588
Florida,Jul  8 2021,2362076
Florida,Jul  7 2021,2356659
Florida,Jul  6 2021,2351810
Florida,Jul  5 2021,2347864
Florida,Jul  4 2021,2346152
Florida,Jul  3 2021,2344365
Florida,Jul  2 2021,2341893
Florida,Jul  1 2021,2338729
Florida,Jun 30 2021,2335840
Florida,Jun 29 2021,2332954
Florida,Jun 28 2021,2330499
Florida,Jun 27 2021,2328181
Florida,Jun 26 2021,2326663
Florida,Jun 25 2021,2324863
Florida,Jun 24 2021,2322742
Florida,Jun 23 2021,2320845
Florida,Jun 22 2021,2318924
Florida,Jun 21 2021,2316924
Florida,Jun 20 2021,2315145
Florida,Jun 19 2021,2314097
Florida,Jun 18 2021,2312401
Florida,Jun 17 2021,2310940
Florida,Jun 16 2021,2309077
Florida,Jun 15 2021,2307529
Florida,Jun 14 2021,2305776
Florida,Jun 13 2021,2304433
Florida,Jun 12 2021,2303413
Florida,Jun 11 2021,2302063
Florida,Jun 10 2021,2300473
Florida,Jun  9 2021,2298477
Florida,Jun  8 2021,2296604
Florida,Jun  7 2021,2294911
Florida,Jun  6 2021,2293489
Florida,Jun  5 2021,2292264
Florida,Jun  4 2021,2290776
Florida,Jun  3 2021,2288631
Florida,Jun  2 2021,2286244
Florida,Jun  1 2021,2284401
Florida,May 31 2021,2283159
Florida,May 30 2021,2281920
Florida,May 29 2021,2280623
Florida,May 28 2021,2279176
Florida,May 27 2021,2277193
Florida,May 26 2021,2274877
Florida,May 25 2021,2272596
Florida,May 24 2021,2270285
Florida,May 23 2021,2268407
Florida,May 22 2021,2266827
Florida,May 21 2021,2264802
Florida,May 20 2021,2261501
Florida,May 19 2021,2259183
Florida,May 18 2021,2256314
Florida,May 17 2021,2253481
Florida,May 16 2021,2250721
Florida,May 15 2021,2248757
Florida,May 14 2021,2246340
Florida,May 13 2021,2243077
Florida,May 12 2021,2239537
Florida,May 11 2021,2235522
Florida,May 10 2021,2232371
Florida,May  9 2021,2229124
Florida,May  8 2021,2226854
Florida,May  7 2021,2223679
Florida,May  6 2021,2219741
Florida,May  5 2021,2215476
Florida,May  4 2021,2210882
Florida,May  3 2021,2206498
Florida,May  2 2021,2202837
Florida,May  1 2021,2199699
Florida,Apr 30 2021,2195820
Florida,Apr 29 2021,2190440
Florida,Apr 28 2021,2185171
Florida,Apr 27 2021,2179518
Florida,Apr 26 2021,2174409
Florida,Apr 25 2021,2169183
Florida,Apr 24 2021,2165622
Florida,Apr 23 2021,2160948
Florida,Apr 22 2021,2153681
Florida,Apr 21 2021,2148814
Florida,Apr 20 2021,2142198
Florida,Apr 19 2021,2136653
Florida,Apr 18 2021,2131029
Florida,Apr 17 2021,2126748
Florida,Apr 16 2021,2120887
Florida,Apr 15 2021,2114591
Florida,Apr 14 2021,2107354
Florida,Apr 13 2021,2100634
Florida,Apr 12 2021,2093950
Florida,Apr 11 2021,2084902
Florida,Apr 10 2021,2083260
Florida,Apr  9 2021,2077743
Florida,Apr  8 2021,2070981
Florida,Apr  7 2021,2063989
Florida,Apr  6 2021,2056251
Florida,Apr  5 2021,2050470
Florida,Apr  4 2021,2045021
Florida,Apr  3 2021,2041490
Florida,Apr  2 2021,2036698
Florida,Apr  1 2021,2030863
Florida,Mar 31 2021,2024536
Florida,Mar 30 2021,2017565
Florida,Mar 29 2021,2012608
Florida,Mar 28 2021,2007507
Florida,Mar 27 2021,2003930
Florida,Mar 26 2021,1999096
Florida,Mar 25 2021,1993431
Florida,Mar 24 2021,1987603
Florida,Mar 23 2021,1981804
Florida,Mar 22 2021,1976652
Florida,Mar 21 2021,1971382
Florida,Mar 20 2021,1968423
Florida,Mar 19 2021,1964464
Florida,Mar 18 2021,1959566
