Data Table for Total Cases - Kansas
Date generated: Mon Sep 27 2021 02:31:00 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Kansas,Sep 24 2021,404459
Kansas,Sep 23 2021,403194
Kansas,Sep 22 2021,401931
Kansas,Sep 21 2021,400650
Kansas,Sep 20 2021,399369
Kansas,Sep 19 2021,398547
Kansas,Sep 18 2021,397727
Kansas,Sep 17 2021,396907
Kansas,Sep 16 2021,395301
Kansas,Sep 15 2021,393696
Kansas,Sep 14 2021,391863
Kansas,Sep 13 2021,390031
Kansas,Sep 12 2021,389070
Kansas,Sep 11 2021,388111
Kansas,Sep 10 2021,387152
Kansas,Sep  9 2021,385001
Kansas,Sep  8 2021,382850
Kansas,Sep  7 2021,381703
Kansas,Sep  6 2021,380558
Kansas,Sep  5 2021,379413
Kansas,Sep  4 2021,378268
Kansas,Sep  3 2021,377123
Kansas,Sep  2 2021,375146
Kansas,Sep  1 2021,373171
Kansas,Aug 31 2021,371073
Kansas,Aug 30 2021,368976
Kansas,Aug 29 2021,367907
Kansas,Aug 28 2021,366840
Kansas,Aug 27 2021,365773
Kansas,Aug 26 2021,364047
Kansas,Aug 25 2021,362321
Kansas,Aug 24 2021,360581
Kansas,Aug 23 2021,358843
Kansas,Aug 22 2021,357915
Kansas,Aug 21 2021,356990
Kansas,Aug 20 2021,356065
Kansas,Aug 19 2021,354727
Kansas,Aug 18 2021,353390
Kansas,Aug 17 2021,351886
Kansas,Aug 16 2021,350384
Kansas,Aug 15 2021,349564
Kansas,Aug 14 2021,348746
Kansas,Aug 13 2021,347928
Kansas,Aug 12 2021,346432
Kansas,Aug 11 2021,344937
Kansas,Aug 10 2021,343566
Kansas,Aug  9 2021,342196
Kansas,Aug  8 2021,341305
Kansas,Aug  7 2021,340416
Kansas,Aug  6 2021,339527
Kansas,Aug  5 2021,338438
Kansas,Aug  4 2021,337350
Kansas,Aug  3 2021,335993
Kansas,Aug  2 2021,334636
Kansas,Aug  1 2021,334067
Kansas,Jul 31 2021,333500
Kansas,Jul 30 2021,332933
Kansas,Jul 29 2021,331932
Kansas,Jul 28 2021,330932
Kansas,Jul 27 2021,329843
Kansas,Jul 26 2021,328755
Kansas,Jul 25 2021,328257
Kansas,Jul 24 2021,327762
Kansas,Jul 23 2021,327267
Kansas,Jul 22 2021,326497
Kansas,Jul 21 2021,325728
Kansas,Jul 20 2021,324957
Kansas,Jul 19 2021,324187
Kansas,Jul 18 2021,323917
Kansas,Jul 17 2021,323651
Kansas,Jul 16 2021,323385
Kansas,Jul 15 2021,322824
Kansas,Jul 14 2021,322264
Kansas,Jul 13 2021,321686
Kansas,Jul 12 2021,321109
Kansas,Jul 11 2021,320885
