Data Table for Total Cases - Maryland
Date generated: Mon Sep 27 2021 02:34:56 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Maryland,Sep 24 2021,526690
Maryland,Sep 23 2021,525124
Maryland,Sep 22 2021,523760
Maryland,Sep 21 2021,522355
Maryland,Sep 20 2021,521210
Maryland,Sep 19 2021,519097
Maryland,Sep 18 2021,518579
Maryland,Sep 17 2021,518061
Maryland,Sep 16 2021,516784
Maryland,Sep 15 2021,515259
Maryland,Sep 14 2021,513929
Maryland,Sep 13 2021,512740
Maryland,Sep 12 2021,510543
Maryland,Sep 11 2021,509968
Maryland,Sep 10 2021,509393
Maryland,Sep  9 2021,509017
Maryland,Sep  8 2021,506464
Maryland,Sep  7 2021,505557
Maryland,Sep  6 2021,504856
Maryland,Sep  5 2021,503034
Maryland,Sep  4 2021,502631
Maryland,Sep  3 2021,502229
Maryland,Sep  2 2021,501035
Maryland,Sep  1 2021,499648
Maryland,Aug 31 2021,498376
Maryland,Aug 30 2021,497002
Maryland,Aug 29 2021,494982
Maryland,Aug 28 2021,494452
Maryland,Aug 27 2021,493923
Maryland,Aug 26 2021,492548
Maryland,Aug 25 2021,491174
Maryland,Aug 24 2021,489957
Maryland,Aug 23 2021,488740
Maryland,Aug 22 2021,486968
Maryland,Aug 21 2021,486473
Maryland,Aug 20 2021,485978
Maryland,Aug 19 2021,484847
Maryland,Aug 18 2021,483641
Maryland,Aug 17 2021,482581
Maryland,Aug 16 2021,481569
Maryland,Aug 15 2021,479952
Maryland,Aug 14 2021,479517
Maryland,Aug 13 2021,479083
Maryland,Aug 12 2021,478067
Maryland,Aug 11 2021,477117
Maryland,Aug 10 2021,476070
Maryland,Aug  9 2021,475184
Maryland,Aug  8 2021,473969
Maryland,Aug  7 2021,473542
Maryland,Aug  6 2021,473116
Maryland,Aug  5 2021,472224
Maryland,Aug  4 2021,471334
Maryland,Aug  3 2021,470605
Maryland,Aug  2 2021,469910
Maryland,Aug  1 2021,469095
Maryland,Jul 31 2021,468821
Maryland,Jul 30 2021,468548
Maryland,Jul 29 2021,467961
Maryland,Jul 28 2021,467435
Maryland,Jul 27 2021,466930
Maryland,Jul 26 2021,466514
Maryland,Jul 25 2021,465949
Maryland,Jul 24 2021,465796
Maryland,Jul 23 2021,465643
Maryland,Jul 22 2021,465326
Maryland,Jul 21 2021,465038
Maryland,Jul 20 2021,464735
Maryland,Jul 19 2021,464491
Maryland,Jul 18 2021,464197
Maryland,Jul 17 2021,464114
Maryland,Jul 16 2021,464031
Maryland,Jul 15 2021,463848
Maryland,Jul 14 2021,463665
Maryland,Jul 13 2021,463487
Maryland,Jul 12 2021,463383
Maryland,Jul 11 2021,463186
Maryland,Jul 10 2021,463146
Maryland,Jul  9 2021,463107
Maryland,Jul  8 2021,462971
Maryland,Jul  7 2021,462835
Maryland,Jul  6 2021,462736
Maryland,Jul  5 2021,462681
Maryland,Jul  4 2021,462596
Maryland,Jul  3 2021,462565
Maryland,Jul  2 2021,462535
Maryland,Jul  1 2021,462439
Maryland,Jun 30 2021,462354
Maryland,Jun 29 2021,462279
Maryland,Jun 28 2021,462217
Maryland,Jun 27 2021,462144
Maryland,Jun 26 2021,462111
Maryland,Jun 25 2021,462078
Maryland,Jun 24 2021,462017
Maryland,Jun 23 2021,461953
Maryland,Jun 22 2021,461887
Maryland,Jun 21 2021,461828
Maryland,Jun 20 2021,461797
Maryland,Jun 19 2021,461768
Maryland,Jun 18 2021,461739
Maryland,Jun 17 2021,461635
Maryland,Jun 16 2021,461549
Maryland,Jun 15 2021,461470
Maryland,Jun 14 2021,461392
Maryland,Jun 13 2021,461325
Maryland,Jun 12 2021,461265
Maryland,Jun 11 2021,461183
Maryland,Jun 10 2021,461097
Maryland,Jun  9 2021,460984
Maryland,Jun  8 2021,460863
Maryland,Jun  7 2021,460737
Maryland,Jun  6 2021,460659
Maryland,Jun  5 2021,460575
Maryland,Jun  4 2021,460472
Maryland,Jun  3 2021,460339
Maryland,Jun  2 2021,460060
Maryland,Jun  1 2021,459995
Maryland,May 31 2021,459944
Maryland,May 30 2021,459894
Maryland,May 29 2021,459711
Maryland,May 28 2021,459529
Maryland,May 27 2021,459343
Maryland,May 26 2021,459095
Maryland,May 25 2021,458887
Maryland,May 24 2021,458680
Maryland,May 23 2021,458520
Maryland,May 22 2021,458292
Maryland,May 21 2021,457527
Maryland,May 20 2021,457305
Maryland,May 19 2021,457084
Maryland,May 18 2021,456756
Maryland,May 17 2021,456428
Maryland,May 16 2021,456216
Maryland,May 15 2021,456004
Maryland,May 14 2021,455635
Maryland,May 13 2021,455257
Maryland,May 12 2021,454745
Maryland,May 11 2021,454271
Maryland,May 10 2021,453800
Maryland,May  9 2021,453401
Maryland,May  8 2021,453125
Maryland,May  7 2021,452691
Maryland,May  6 2021,452035
Maryland,May  5 2021,451267
Maryland,May  4 2021,450689
Maryland,May  3 2021,450010
Maryland,May  2 2021,449509
Maryland,May  1 2021,448989
Maryland,Apr 30 2021,448340
Maryland,Apr 29 2021,447401
Maryland,Apr 28 2021,446459
Maryland,Apr 27 2021,445493
Maryland,Apr 26 2021,444491
Maryland,Apr 25 2021,443814
Maryland,Apr 24 2021,443257
Maryland,Apr 23 2021,442351
Maryland,Apr 22 2021,439992
Maryland,Apr 21 2021,439992
Maryland,Apr 20 2021,438789
Maryland,Apr 19 2021,437584
Maryland,Apr 18 2021,436659
Maryland,Apr 17 2021,436028
Maryland,Apr 16 2021,434859
Maryland,Apr 15 2021,434923
Maryland,Apr 14 2021,431795
Maryland,Apr 13 2021,430351
Maryland,Apr 12 2021,428799
Maryland,Apr 11 2021,427715
Maryland,Apr 10 2021,426730
Maryland,Apr  9 2021,425247
Maryland,Apr  8 2021,421823
Maryland,Apr  7 2021,421823
Maryland,Apr  6 2021,419055
Maryland,Apr  5 2021,419055
Maryland,Apr  4 2021,418188
Maryland,Apr  3 2021,417329
Maryland,Apr  2 2021,414385
Maryland,Apr  1 2021,414385
Maryland,Mar 31 2021,412928
Maryland,Mar 30 2021,411344
Maryland,Mar 29 2021,409978
Maryland,Mar 28 2021,409076
Maryland,Mar 27 2021,408044
Maryland,Mar 26 2021,406709
Maryland,Mar 25 2021,403982
Maryland,Mar 24 2021,402600
Maryland,Mar 23 2021,402600
Maryland,Mar 22 2021,401427
Maryland,Mar 21 2021,400705
Maryland,Mar 20 2021,400023
Maryland,Mar 19 2021,399016
Maryland,Mar 18 2021,397898
Maryland,Mar 17 2021,396746
Maryland,Mar 16 2021,395633
Maryland,Mar 15 2021,394716
Maryland,Mar 14 2021,394058
Maryland,Mar 13 2021,393441
Maryland,Mar 12 2021,391480
Maryland,Mar 11 2021,391480
Maryland,Mar 10 2021,390490
Maryland,Mar  9 2021,389566
Maryland,Mar  8 2021,388666
Maryland,Mar  7 2021,388035
Maryland,Mar  6 2021,387319
Maryland,Mar  5 2021,386610
Maryland,Mar  4 2021,385678
Maryland,Mar  3 2021,384765
Maryland,Mar  2 2021,383956
Maryland,Mar  1 2021,383170
Maryland,Feb 28 2021,382702
Maryland,Feb 27 2021,382099
Maryland,Feb 26 2021,381272
Maryland,Feb 25 2021,380436
Maryland,Feb 24 2021,379466
Maryland,Feb 23 2021,378490
Maryland,Feb 22 2021,377628
Maryland,Feb 21 2021,376966
Maryland,Feb 20 2021,376355
Maryland,Feb 19 2021,375737
Maryland,Feb 18 2021,374974
Maryland,Feb 17 2021,373966
Maryland,Feb 16 2021,372980
Maryland,Feb 15 2021,372221
Maryland,Feb 14 2021,371705
Maryland,Feb 13 2021,370983
Maryland,Feb 12 2021,370136
Maryland,Feb 11 2021,368977
Maryland,Feb 10 2021,367865
Maryland,Feb  9 2021,366666
Maryland,Feb  8 2021,365529
Maryland,Feb  7 2021,364553
Maryland,Feb  6 2021,363650
Maryland,Feb  5 2021,362084
Maryland,Feb  4 2021,360584
Maryland,Feb  3 2021,359037
Maryland,Feb  2 2021,357483
Maryland,Feb  1 2021,356541
Maryland,Jan 31 2021,355636
Maryland,Jan 30 2021,354473
Maryland,Jan 29 2021,352726
Maryland,Jan 28 2021,350629
Maryland,Jan 27 2021,348749
Maryland,Jan 26 2021,346559
Maryland,Jan 25 2021,344620
Maryland,Jan 24 2021,343138
Maryland,Jan 23 2021,341452
Maryland,Jan 22 2021,339307
Maryland,Jan 21 2021,336915
Maryland,Jan 20 2021,334519
Maryland,Jan 19 2021,332353
Maryland,Jan 18 2021,330186
Maryland,Jan 17 2021,328214
Maryland,Jan 16 2021,326445
Maryland,Jan 15 2021,324031
Maryland,Jan 14 2021,320739
Maryland,Jan 13 2021,317815
Maryland,Jan 12 2021,314867
Maryland,Jan 11 2021,312351
Maryland,Jan 10 2021,309686
Maryland,Jan  9 2021,306674
Maryland,Jan  8 2021,303364
Maryland,Jan  7 2021,299606
Maryland,Jan  6 2021,295874
