Data Table for Total Cases - New Jersey
Date generated: Mon Sep 27 2021 02:34:08 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New Jersey,Sep 24 2021,1143855
New Jersey,Sep 23 2021,1141619
New Jersey,Sep 22 2021,1139367
New Jersey,Sep 21 2021,1137016
New Jersey,Sep 20 2021,1134851
New Jersey,Sep 19 2021,1133228
New Jersey,Sep 18 2021,1131319
New Jersey,Sep 17 2021,1128696
New Jersey,Sep 16 2021,1126322
New Jersey,Sep 15 2021,1123364
New Jersey,Sep 14 2021,1121089
New Jersey,Sep 13 2021,1119051
New Jersey,Sep 12 2021,1117506
New Jersey,Sep 11 2021,1115659
New Jersey,Sep 10 2021,1113165
New Jersey,Sep  9 2021,1110501
New Jersey,Sep  8 2021,1108291
New Jersey,Sep  7 2021,1104793
New Jersey,Sep  6 2021,1104439
New Jersey,Sep  5 2021,1102488
New Jersey,Sep  4 2021,1100774
New Jersey,Sep  3 2021,1098526
New Jersey,Sep  2 2021,1096791
New Jersey,Sep  1 2021,1094249
New Jersey,Aug 31 2021,1091966
New Jersey,Aug 30 2021,1089838
New Jersey,Aug 29 2021,1088330
New Jersey,Aug 28 2021,1086480
New Jersey,Aug 27 2021,1084546
New Jersey,Aug 26 2021,1081954
New Jersey,Aug 25 2021,1079900
New Jersey,Aug 24 2021,1077787
New Jersey,Aug 23 2021,1075930
New Jersey,Aug 22 2021,1074306
New Jersey,Aug 21 2021,1072856
New Jersey,Aug 20 2021,1070698
New Jersey,Aug 19 2021,1067758
New Jersey,Aug 18 2021,1065736
New Jersey,Aug 17 2021,1064059
New Jersey,Aug 16 2021,1062238
New Jersey,Aug 15 2021,1060934
New Jersey,Aug 14 2021,1059660
New Jersey,Aug 13 2021,1057096
New Jersey,Aug 12 2021,1055252
New Jersey,Aug 11 2021,1053398
New Jersey,Aug 10 2021,1051712
New Jersey,Aug  9 2021,1050083
New Jersey,Aug  8 2021,1049222
New Jersey,Aug  7 2021,1048053
New Jersey,Aug  6 2021,1046514
New Jersey,Aug  5 2021,1045168
New Jersey,Aug  4 2021,1043702
New Jersey,Aug  3 2021,1042472
New Jersey,Aug  2 2021,1041159
New Jersey,Aug  1 2021,1040281
New Jersey,Jul 31 2021,1039353
New Jersey,Jul 30 2021,1038171
New Jersey,Jul 29 2021,1037052
New Jersey,Jul 28 2021,1035975
New Jersey,Jul 27 2021,1035027
New Jersey,Jul 26 2021,1034233
New Jersey,Jul 25 2021,1033712
New Jersey,Jul 24 2021,1033116
New Jersey,Jul 23 2021,1032255
New Jersey,Jul 22 2021,1031346
New Jersey,Jul 21 2021,1030600
New Jersey,Jul 20 2021,1029901
New Jersey,Jul 19 2021,1029243
New Jersey,Jul 18 2021,1028931
New Jersey,Jul 17 2021,1028503
New Jersey,Jul 16 2021,1027954
New Jersey,Jul 15 2021,1027460
New Jersey,Jul 14 2021,1027014
New Jersey,Jul 13 2021,1026649
New Jersey,Jul 12 2021,1026286
New Jersey,Jul 11 2021,1026071
New Jersey,Jul 10 2021,1025788
New Jersey,Jul  9 2021,1025477
New Jersey,Jul  8 2021,1025079
New Jersey,Jul  7 2021,1024748
New Jersey,Jul  6 2021,1024465
New Jersey,Jul  5 2021,1024311
New Jersey,Jul  4 2021,1024225
New Jersey,Jul  3 2021,1024113
New Jersey,Jul  2 2021,1023923
New Jersey,Jul  1 2021,1023613
New Jersey,Jun 30 2021,1023395
New Jersey,Jun 29 2021,1023200
New Jersey,Jun 28 2021,1022978
New Jersey,Jun 27 2021,1022830
New Jersey,Jun 26 2021,1022680
New Jersey,Jun 25 2021,1022443
New Jersey,Jun 24 2021,1022094
New Jersey,Jun 23 2021,1021822
New Jersey,Jun 22 2021,1021554
New Jersey,Jun 21 2021,1021308
New Jersey,Jun 20 2021,1021182
New Jersey,Jun 19 2021,1020974
New Jersey,Jun 18 2021,1020769
New Jersey,Jun 17 2021,1020564
New Jersey,Jun 16 2021,1020326
New Jersey,Jun 15 2021,1020043
New Jersey,Jun 14 2021,1019794
New Jersey,Jun 13 2021,1019563
New Jersey,Jun 12 2021,1019356
New Jersey,Jun 11 2021,1019107
New Jersey,Jun 10 2021,1018833
New Jersey,Jun  9 2021,1018491
New Jersey,Jun  8 2021,1018307
New Jersey,Jun  7 2021,1018112
New Jersey,Jun  6 2021,1017904
New Jersey,Jun  5 2021,1017695
New Jersey,Jun  4 2021,1017337
New Jersey,Jun  3 2021,1017049
New Jersey,Jun  2 2021,1016763
New Jersey,Jun  1 2021,1016490
New Jersey,May 31 2021,1016332
New Jersey,May 30 2021,1016135
New Jersey,May 29 2021,1015889
New Jersey,May 28 2021,1015634
New Jersey,May 27 2021,1015368
New Jersey,May 26 2021,1014974
New Jersey,May 25 2021,1014579
New Jersey,May 24 2021,1014190
New Jersey,May 23 2021,1014088
New Jersey,May 22 2021,1013787
New Jersey,May 21 2021,1013409
New Jersey,May 20 2021,1012757
New Jersey,May 19 2021,1012196
New Jersey,May 18 2021,1011752
New Jersey,May 17 2021,1011106
New Jersey,May 16 2021,1010759
