Data Table for Total Cases - New York City*
Date generated: Mon Sep 27 2021 10:01:22 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
New York City,Sep 24 2021,1075197
New York City,Sep 23 2021,1075197
New York City,Sep 22 2021,1073442
New York City,Sep 21 2021,1071854
New York City,Sep 20 2021,1070072
New York City,Sep 19 2021,1068263
New York City,Sep 18 2021,1066526
New York City,Sep 17 2021,1064790
New York City,Sep 16 2021,1063054
New York City,Sep 15 2021,1060926
New York City,Sep 14 2021,1058825
New York City,Sep 13 2021,1056839
New York City,Sep 12 2021,1055289
New York City,Sep 11 2021,1053597
New York City,Sep 10 2021,1051906
New York City,Sep  9 2021,1050215
New York City,Sep  8 2021,1047994
New York City,Sep  7 2021,1045821
New York City,Sep  6 2021,1044721
New York City,Sep  5 2021,1043623
New York City,Sep  4 2021,1042123
New York City,Sep  3 2021,1040624
New York City,Sep  2 2021,1039125
New York City,Sep  1 2021,1036970
New York City,Aug 31 2021,1035185
New York City,Aug 30 2021,1033429
New York City,Aug 29 2021,1031905
New York City,Aug 28 2021,1030167
New York City,Aug 27 2021,1028429
New York City,Aug 26 2021,1026691
New York City,Aug 25 2021,1024558
New York City,Aug 24 2021,1022481
New York City,Aug 23 2021,1020456
New York City,Aug 22 2021,1018844
New York City,Aug 21 2021,1017208
New York City,Aug 20 2021,1015574
New York City,Aug 19 2021,1013114
New York City,Aug 18 2021,1011311
New York City,Aug 17 2021,1008938
New York City,Aug 16 2021,1006712
New York City,Aug 15 2021,1005132
New York City,Aug 14 2021,1003176
New York City,Aug 13 2021,1001223
New York City,Aug 12 2021,999270
New York City,Aug 11 2021,997238
New York City,Aug 10 2021,995080
New York City,Aug  9 2021,992005
New York City,Aug  8 2021,990757
New York City,Aug  7 2021,989054
New York City,Aug  6 2021,987353
New York City,Aug  5 2021,985652
New York City,Aug  4 2021,983767
New York City,Aug  3 2021,981792
New York City,Aug  2 2021,980129
New York City,Aug  1 2021,978539
New York City,Jul 31 2021,977211
New York City,Jul 30 2021,975883
New York City,Jul 29 2021,974555
New York City,Jul 28 2021,973129
New York City,Jul 27 2021,971662
New York City,Jul 26 2021,970468
New York City,Jul 25 2021,969460
New York City,Jul 24 2021,968490
New York City,Jul 23 2021,967522
New York City,Jul 22 2021,966554
New York City,Jul 21 2021,965450
New York City,Jul 20 2021,964556
