Data Table for Total Cases - Oklahoma
Date generated: Mon Sep 27 2021 02:37:09 GMT-0500 (Central Daylight Time)
State,Date,Total Cases
Oklahoma,Sep 24 2021,605545
Oklahoma,Sep 23 2021,604391
Oklahoma,Sep 22 2021,603161
Oklahoma,Sep 21 2021,600800
Oklahoma,Sep 20 2021,598557
Oklahoma,Sep 19 2021,597108
Oklahoma,Sep 18 2021,595659
Oklahoma,Sep 17 2021,594210
Oklahoma,Sep 16 2021,592074
Oklahoma,Sep 15 2021,589950
Oklahoma,Sep 14 2021,587687
Oklahoma,Sep 13 2021,585721
Oklahoma,Sep 12 2021,583883
Oklahoma,Sep 11 2021,582049
Oklahoma,Sep 10 2021,580215
Oklahoma,Sep  9 2021,577312
Oklahoma,Sep  8 2021,574685
Oklahoma,Sep  7 2021,572223
Oklahoma,Sep  6 2021,570923
Oklahoma,Sep  5 2021,568404
Oklahoma,Sep  4 2021,565886
Oklahoma,Sep  3 2021,563368
Oklahoma,Sep  2 2021,560850
Oklahoma,Sep  1 2021,557770
Oklahoma,Aug 31 2021,554496
Oklahoma,Aug 30 2021,551958
Oklahoma,Aug 29 2021,550055
Oklahoma,Aug 28 2021,548156
Oklahoma,Aug 27 2021,546257
Oklahoma,Aug 26 2021,542412
Oklahoma,Aug 25 2021,539074
Oklahoma,Aug 24 2021,534922
Oklahoma,Aug 23 2021,532388
Oklahoma,Aug 22 2021,530712
Oklahoma,Aug 21 2021,529038
Oklahoma,Aug 20 2021,527364
Oklahoma,Aug 19 2021,524376
Oklahoma,Aug 18 2021,521525
Oklahoma,Aug 17 2021,519023
Oklahoma,Aug 16 2021,516663
Oklahoma,Aug 15 2021,514705
Oklahoma,Aug 14 2021,512748
Oklahoma,Aug 13 2021,510791
Oklahoma,Aug 12 2021,508834
Oklahoma,Aug 11 2021,506020
Oklahoma,Aug 10 2021,503552
Oklahoma,Aug  9 2021,501353
Oklahoma,Aug  8 2021,499683
Oklahoma,Aug  7 2021,498015
Oklahoma,Aug  6 2021,496347
Oklahoma,Aug  5 2021,493983
Oklahoma,Aug  4 2021,491680
Oklahoma,Aug  3 2021,489338
Oklahoma,Aug  2 2021,487178
Oklahoma,Aug  1 2021,485771
Oklahoma,Jul 31 2021,484367
Oklahoma,Jul 30 2021,482963
Oklahoma,Jul 29 2021,480635
Oklahoma,Jul 28 2021,478858
Oklahoma,Jul 27 2021,477052
Oklahoma,Jul 26 2021,475578
Oklahoma,Jul 25 2021,474550
Oklahoma,Jul 24 2021,473524
Oklahoma,Jul 23 2021,472498
Oklahoma,Jul 22 2021,471176
Oklahoma,Jul 21 2021,469982
Oklahoma,Jul 20 2021,468401
Oklahoma,Jul 19 2021,467198
Oklahoma,Jul 18 2021,466598
Oklahoma,Jul 17 2021,465998
Oklahoma,Jul 16 2021,465398
Oklahoma,Jul 15 2021,464607
Oklahoma,Jul 14 2021,463857
Oklahoma,Jul 13 2021,463152
Oklahoma,Jul 12 2021,462070
Oklahoma,Jul 11 2021,461811
Oklahoma,Jul 10 2021,461552
Oklahoma,Jul  9 2021,461293
Oklahoma,Jul  8 2021,460682
Oklahoma,Jul  7 2021,460131
Oklahoma,Jul  6 2021,459675
Oklahoma,Jul  5 2021,459524
Oklahoma,Jul  4 2021,459298
Oklahoma,Jul  3 2021,459074
Oklahoma,Jul  2 2021,458850
Oklahoma,Jul  1 2021,458483
Oklahoma,Jun 30 2021,458180
Oklahoma,Jun 29 2021,457851
Oklahoma,Jun 28 2021,457575
Oklahoma,Jun 27 2021,457419
Oklahoma,Jun 26 2021,457263
Oklahoma,Jun 25 2021,457107
Oklahoma,Jun 24 2021,456910
Oklahoma,Jun 23 2021,456686
Oklahoma,Jun 22 2021,456413
Oklahoma,Jun 21 2021,456148
Oklahoma,Jun 20 2021,455994
Oklahoma,Jun 19 2021,455841
Oklahoma,Jun 18 2021,455688
Oklahoma,Jun 17 2021,455535
Oklahoma,Jun 16 2021,455354
Oklahoma,Jun 15 2021,455145
Oklahoma,Jun 14 2021,454929
Oklahoma,Jun 13 2021,454884
Oklahoma,Jun 12 2021,454785
Oklahoma,Jun 11 2021,454598
Oklahoma,Jun 10 2021,454394
Oklahoma,Jun  9 2021,454216
Oklahoma,Jun  8 2021,454094
Oklahoma,Jun  7 2021,453970
Oklahoma,Jun  6 2021,453890
Oklahoma,Jun  5 2021,453796
Oklahoma,Jun  4 2021,453662
Oklahoma,Jun  3 2021,453552
Oklahoma,Jun  2 2021,453399
Oklahoma,Jun  1 2021,453284
Oklahoma,May 31 2021,453242
