,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
55,54.92613045374552,1.1990619840620296,0.2799988587697347,0.004898527387006998,15,1200,"{'max_depth': 15, 'n_estimators': 1200}",0.8699800690147548,0.8867439155332857,0.8565452755905512,0.8710897533795304,0.012353488390998476,1,1.0,1.0,1.0,1.0,0.0,0.7901907356948229,0.8035470668485676,0.7844474761255116,0.7927284262229674,0.008001187260214879,8,1.0,1.0,1.0,1.0,0.0
54,44.588996489842735,1.3425759024242996,0.2355352242787679,0.01172486477729132,15,1000,"{'max_depth': 15, 'n_estimators': 1000}",0.8655104712041886,0.884223633977571,0.8554342638988308,0.8683894563601967,0.0119282123284548,2,0.9999999999999999,0.9999999999999999,1.0,1.0,9.064933036736789e-17,0.7956403269754768,0.8144611186903138,0.7789904502046384,0.796363965290143,0.014489877386484003,4,1.0,1.0,1.0,1.0,0.0
50,21.21336277325948,1.3712479757339997,0.1426697572072347,0.015965886637993094,15,400,"{'max_depth': 15, 'n_estimators': 400}",0.8619147132317944,0.8859609878310665,0.8528319613457409,0.8669025541362005,0.013977172261276635,3,0.9999999999999999,1.0,1.0,1.0,6.409875621278546e-17,0.7956403269754768,0.8049113233287858,0.7939972714870396,0.7981829739304341,0.004804714494066979,1,1.0,1.0,1.0,1.0,0.0
49,15.274375518163046,0.4618309326817492,0.08933218320210774,0.008994504531965571,15,300,"{'max_depth': 15, 'n_estimators': 300}",0.8610520287958114,0.8869601527081843,0.8521608804581245,0.8667243539873734,0.014762086394828386,4,1.0,1.0,1.0,1.0,0.0,0.7901907356948229,0.8076398362892224,0.7939972714870396,0.797275947823695,0.00749133129151183,3,1.0,1.0,1.0,1.0,0.0
52,28.42587971687317,0.6012445006769216,0.14867305755615234,0.012819376237719617,15,600,"{'max_depth': 15, 'n_estimators': 600}",0.8626881544502618,0.8832542949176808,0.8536894535910284,0.8665439676529904,0.012373908901617277,5,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17,0.7915531335149864,0.8035470668485676,0.791268758526603,0.7954563196300524,0.005722200054695671,7,1.0,1.0,1.0,1.0,0.0
53,35.8802436987559,0.6400374427933327,0.19999933242797852,0.0077890000590952165,15,800,"{'max_depth': 15, 'n_estimators': 800}",0.864004491908615,0.8825906704843713,0.8528021355285135,0.8664657659738332,0.012285020857998267,6,1.0,1.0,1.0,1.0,0.0,0.7915531335149864,0.8076398362892224,0.7885402455661664,0.7959110717901251,0.008384203836362002,5,1.0,1.0,1.0,1.0,0.0
51,28.413398186365765,1.1042058243258455,0.14450883865356445,0.032207260659582584,15,500,"{'max_depth': 15, 'n_estimators': 500}",0.8603380830556877,0.8841938081603437,0.8534881293247436,0.8660066735135917,0.013160784336386995,7,1.0,0.9999999999999999,1.0,1.0,6.409875621278546e-17,0.7915531335149864,0.8035470668485676,0.7926330150068213,0.7959110717901251,0.005417431827506511,5,1.0,1.0,1.0,1.0,0.0
48,10.97171942392985,0.23152754883359294,0.0579988161722819,0.004321360703471338,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.8609107270347455,0.885014018134097,0.8484773920305416,0.8648007123997946,0.015167514658263853,8,1.0,1.0,1.0,1.0,0.0,0.7874659400544959,0.8117326057298773,0.7939972714870396,0.7977319390904709,0.010252758078724406,2,1.0,1.0,1.0,1.0,0.0
39,17.84680151939392,2.6841260018208755,0.16504979133605957,0.039412999884351006,8,800,"{'max_depth': 8, 'n_estimators': 800}",0.8552995597334603,0.8744929611071344,0.8436232402767835,0.8578052537057927,0.012726449956637218,9,1.0,1.0,1.0,1.0,0.0,0.773841961852861,0.8021828103683493,0.757162346521146,0.7777290395807855,0.0185839100873404,17,1.0,1.0,1.0,1.0,0.0
40,24.78684401512146,2.0856705668277424,0.13700016339619955,0.018780980278797082,8,1000,"{'max_depth': 8, 'n_estimators': 1000}",0.8549054021894336,0.8744258530183726,0.8432429611071344,0.8575247387716468,0.01286439220186694,10,1.0,1.0,1.0,1.0,0.0,0.7752043596730245,0.7926330150068213,0.7653478854024557,0.7777284200274338,0.011281185956753613,18,1.0,1.0,1.0,1.0,0.0
47,5.874684413274129,0.4577983922283345,0.04067564010620117,0.011565455178715335,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.8588283852927178,0.8766851586733476,0.8354285969935575,0.8569807136532077,0.016893517263044392,11,1.0,1.0,1.0,1.0,0.0,0.779291553133515,0.800818553888131,0.7762619372442019,0.7854573480886159,0.010932203980914518,9,1.0,1.0,1.0,1.0,0.0
38,10.870923042297363,0.15899464270300848,0.09566791852315266,0.006940484816693814,8,600,"{'max_depth': 8, 'n_estimators': 600}",0.8566233341266063,0.8725766523502745,0.8414459556191839,0.8568819806986882,0.012710369605895833,12,1.0,1.0,1.0,1.0,0.0,0.7806539509536785,0.7980900409276944,0.757162346521146,0.778635446134173,0.016769512289444177,14,1.0,1.0,1.0,1.0,0.0
36,7.360041777292888,0.1256642125176862,0.0646666685740153,0.008726858028644223,8,400,"{'max_depth': 8, 'n_estimators': 400}",0.8573075321275583,0.8724871748985922,0.8404467907420663,0.856747165922739,0.013086432208896522,13,1.0,1.0,1.0,1.0,0.0,0.7779291553133515,0.7899045020463847,0.762619372442019,0.7768176766005851,0.011166799394588043,19,1.0,1.0,1.0,1.0,0.0
41,22.800858815511067,0.9732455739051774,0.15466721852620444,0.008014082813959308,8,1200,"{'max_depth': 8, 'n_estimators': 1200}",0.85248096144693,0.8746719160104987,0.842079754235266,0.8564108772308984,0.013592778250417768,14,1.0,1.0,1.0,1.0,0.0,0.7643051771117166,0.800818553888131,0.762619372442019,0.7759143678139555,0.017623362285310515,21,1.0,1.0,1.0,1.0,0.0
37,8.709334452946981,0.10605152862419383,0.08766579627990723,0.03148103681883631,8,500,"{'max_depth': 8, 'n_estimators': 500}",0.8554111137553546,0.8728227153424004,0.8407375924600333,0.8563238071859294,0.01311458563503018,15,1.0,1.0,1.0,1.0,0.0,0.7833787465940054,0.7967257844474761,0.7612551159618008,0.7804532156677607,0.014627853091630349,13,1.0,1.0,1.0,1.0,0.0
35,7.904808918635051,2.3087446882026645,0.05433424313863119,0.0068471736900010275,8,300,"{'max_depth': 8, 'n_estimators': 300}",0.8573000951927654,0.8735459914101646,0.83771772846576,0.85618793835623,0.014647952667526372,16,1.0,1.0,1.0,1.0,0.0,0.7833787465940054,0.7926330150068213,0.7585266030013642,0.7781794548673969,0.01440107196971301,16,1.0,1.0,1.0,1.0,0.0
34,12.136429071426392,1.0149748395080824,0.09168664614359538,0.043232530082789516,8,200,"{'max_depth': 8, 'n_estimators': 200}",0.8589362208472155,0.873329754235266,0.8355143462180863,0.855926773766856,0.015584048461456975,17,1.0,0.9999999999999999,1.0,1.0,6.409875621278546e-17,0.784741144414169,0.791268758526603,0.7694406548431105,0.7818168525946275,0.00914804677107643,11,1.0,1.0,1.0,1.0,0.0
46,4.68177342414856,0.40284814488064213,0.061022679011027016,0.03830647062956149,15,75,"{'max_depth': 15, 'n_estimators': 75}",0.8535741908614944,0.8740045633500358,0.828617125984252,0.852065293398594,0.01856003675146144,18,1.0,1.0,1.0,1.0,0.0,0.776566757493188,0.8035470668485676,0.7735334242837654,0.7845490828751737,0.013490560252261474,10,1.0,1.0,1.0,1.0,0.0
33,5.273492892583211,0.43615031724273307,0.10333291689554851,0.02072279105496725,8,100,"{'max_depth': 8, 'n_estimators': 100}",0.8510753807710614,0.8679238248628013,0.8277969160104988,0.8489320405481204,0.016451699689164965,19,1.0,0.9999981383295603,0.9999999999999999,0.9999993794431868,8.775998614693892e-07,0.7779291553133515,0.7844474761255116,0.7653478854024557,0.7759081722804395,0.007927247137207596,22,0.9993178717598908,0.9986366734832992,1.0,0.99931818174773,0.000556575762949498
