,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
304,61.19387944539388,0.6889694361989936,0.19106856981913248,0.058694443667355274,15,1,2,1200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1200}",0.7874659400544959,0.781718963165075,0.7899045020463847,0.786363135088652,0.0034315104340873737,1
408,43.57351756095886,0.3533039774140439,0.12533251444498697,0.009668320653185415,25,1,5,800,"{'max_depth': 25, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.7915531335149864,0.7748976807639836,0.7844474761255116,0.7836327634681606,0.006823920872966289,2
305,3.7904268900553384,0.08288012280221199,0.018646876017252605,0.005278917000996473,15,1,5,100,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7888283378746594,0.7776261937244202,0.7748976807639836,0.7804507374543544,0.0060276771283548905,3
433,41.369348764419556,0.9395627176882807,0.15303381284077963,0.0021440864738676416,25,2,5,800,"{'max_depth': 25, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.7888283378746594,0.7735334242837654,0.7789904502046384,0.7804507374543544,0.006328924320240179,3
301,15.869415601094564,0.4006419613776825,0.047670602798461914,0.008053122931364613,15,1,2,300,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7915531335149864,0.7776261937244202,0.7708049113233287,0.7799947461875784,0.008634416081652465,5
530,5.704207897186279,0.12829797146194982,0.020334561665852863,0.0032997053329409842,30,2,5,100,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7915531335149864,0.7735334242837654,0.7748976807639836,0.7799947461875784,0.008191969122001633,5
533,44.38987159729004,0.34539858573695986,0.13799166679382324,0.0043095126587436566,30,2,5,800,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.7833787465940054,0.7735334242837654,0.781718963165075,0.7795437113476152,0.004303594094873813,7
309,42.93815128008524,0.40955853486650473,0.1440731684366862,0.016576635007796717,15,1,5,1200,"{'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1200}",0.784741144414169,0.7789904502046384,0.7748976807639836,0.7795430917942636,0.004037532555333597,8
528,48.088416735331215,0.35396313437624066,0.14133652051289877,0.013911637170467969,30,2,2,800,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.7861035422343324,0.7708049113233287,0.781718963165075,0.779542472240912,0.006432462540116464,9
430,5.312330404917399,0.11180298243841792,0.028918902079264324,0.014784015716964374,25,2,5,100,"{'max_depth': 25, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7901907356948229,0.772169167803547,0.7762619372442019,0.7795406135808572,0.0077139058937036615,10
551,10.782931963602701,0.1018634435590119,0.05199909210205078,0.009899524076472004,30,5,2,300,"{'max_depth': 30, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.7683923705722071,0.781718963165075,0.7858117326057299,0.7786410221143374,0.007437017065445708,11
326,10.836814483006796,0.17136155983760828,0.03466661771138509,0.0012473414983152403,15,2,2,300,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7724795640326976,0.7858117326057299,0.7762619372442019,0.7781844112942098,0.005610027306508289,12
351,7.244452079137166,0.1439399877530722,0.03055262565612793,0.002858798612749784,15,5,2,300,"{'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.7697547683923706,0.7708049113233287,0.7926330150068213,0.7777308982408403,0.010546105541037763,13
329,43.2502985795339,0.7131295478219888,0.15275311470031738,0.02516624138625166,15,2,2,1200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1200}",0.7752043596730245,0.7789904502046384,0.7789904502046384,0.7777284200274338,0.0017847801927269313,14
334,40.05471936861674,0.14997983666893416,0.1389614741007487,0.02844464540756225,15,2,5,1200,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1200}",0.776566757493188,0.7776261937244202,0.7776261937244202,0.7772730483140095,0.0004994230288926574,15
