,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,mean_train_AUC,std_train_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy
81,5.631966272989909,0.019295085144604863,0.7766729195912679,0.02800069965057765,30,800,"{'max_depth': 30, 'n_estimators': 800}",0.8596129819133747,0.8923959078978764,0.8449132068718682,0.865640698894373,0.019847783305003804,1,1.0,0.9999999999999999,1.0,1.0,6.409875621278546e-17,0.7915531335149864,0.8185538881309686,0.7776261937244202,0.7959110717901251,0.016990443625096885,5,1.0,1.0,1.0,1.0,0.0
67,5.645265817642212,0.03662408373840566,0.8259565035502116,0.019544394087578514,25,800,"{'max_depth': 25, 'n_estimators': 800}",0.8596352927177534,0.8920901932712957,0.845103346456693,0.8656096108152473,0.019641966991491566,2,1.0,1.0,1.0,1.0,0.0,0.7901907356948229,0.819918144611187,0.7776261937244202,0.7959116913434766,0.017733194440607145,4,1.0,1.0,1.0,1.0,0.0
68,7.20682430267334,0.10751796100216147,0.9858768781026205,0.030575139840877893,25,1000,"{'max_depth': 25, 'n_estimators': 1000}",0.8596055449785815,0.8918217609162491,0.8451592698639943,0.8655288585862749,0.01950489256352117,3,1.0,1.0,1.0,1.0,0.0,0.7888283378746594,0.819918144611187,0.7789904502046384,0.7959123108968282,0.017443356857613307,3,1.0,1.0,1.0,1.0,0.0
82,7.1195015112559,0.0717477428378804,0.9533498287200928,0.031107133875882393,30,1000,"{'max_depth': 30, 'n_estimators': 1000}",0.8596204188481675,0.8919485206394655,0.8448498270102602,0.8654729221659645,0.019668258382616613,4,1.0,1.0,1.0,1.0,0.0,0.7888283378746594,0.8185538881309686,0.7789904502046384,0.7954575587367555,0.0168181713644594,7,1.0,1.0,1.0,1.0,0.0
80,4.280023018519084,0.013694871567782346,0.6046586036682129,0.01991425309406868,30,600,"{'max_depth': 30, 'n_estimators': 600}",0.8588767253688719,0.8920529109997615,0.8451965521355285,0.865375396168054,0.019673232798577744,5,1.0,1.0,1.0,1.0,0.0,0.7929155313351499,0.8212824010914052,0.7789904502046384,0.7977294608770644,0.017597967982659456,1,1.0,1.0,1.0,1.0,0.0
66,4.198570330937703,0.02487659958293257,0.5732768376668295,0.01137110888964534,25,600,"{'max_depth': 25, 'n_estimators': 600}",0.8588469776297001,0.8919410641851587,0.845297214268671,0.8653617520278433,0.019591561071917073,6,1.0,1.0,1.0,1.0,0.0,0.7929155313351499,0.8212824010914052,0.7776261937244202,0.7972747087169917,0.018087158077893625,2,1.0,1.0,1.0,1.0,0.0
69,8.738563855489096,0.08208008606750554,1.178824742635091,0.03961122871311006,25,1200,"{'max_depth': 25, 'n_estimators': 1200}",0.8599216147072822,0.8911655929372465,0.8444546349319972,0.8651806141921753,0.01942886522897687,7,1.0,1.0,1.0,1.0,0.0,0.7874659400544959,0.8171896316507503,0.781718963165075,0.7954581782901071,0.01554453783415562,6,1.0,1.0,1.0,1.0,0.0
64,2.852905035018921,0.025532080813685777,0.4004786014556885,0.007831779169975404,25,400,"{'max_depth': 25, 'n_estimators': 400}",0.8585866849119467,0.8907890419947506,0.8460838701980434,0.8651531990349136,0.01883219631621369,8,1.0,1.0,1.0,1.0,0.0,0.7861035422343324,0.8144611186903138,0.7762619372442019,0.7922755327229494,0.01619391790625786,16,1.0,1.0,1.0,1.0,0.0
83,7.624119361241658,0.5880753842351182,0.9666404724121094,0.1085595862044446,30,1200,"{'max_depth': 30, 'n_estimators': 1200}",0.8599773917182294,0.8911059413027917,0.844357701026008,0.8651470113490097,0.019431816137273215,9,1.0,1.0,1.0,1.0,0.0,0.7861035422343324,0.8171896316507503,0.781718963165075,0.7950040456833859,0.01578936988272234,8,1.0,1.0,1.0,1.0,0.0
65,3.4818012714385986,0.05499098033284399,0.4534149169921875,0.009887671483260967,25,500,"{'max_depth': 25, 'n_estimators': 500}",0.8580140409328891,0.891407927702219,0.8459608387019804,0.8651276024456962,0.019223449962589442,10,1.0,1.0,1.0,1.0,0.0,0.7874659400544959,0.8185538881309686,0.7748976807639836,0.7936391696498161,0.018349344822903124,11,1.0,1.0,1.0,1.0,0.0
79,3.596486727396647,0.07577142458549321,0.4823397795359294,0.02875213100440794,30,500,"{'max_depth': 30, 'n_estimators': 500}",0.8580028855306997,0.8914899486995944,0.8457669708900024,0.8650866017067655,0.01932669916792834,11,1.0,1.0,1.0,1.0,0.0,0.7874659400544959,0.8171896316507503,0.7748976807639836,0.7931844174897433,0.017732794770993234,12,1.0,1.0,1.0,1.0,0.0
78,2.844251791636149,0.05234638037404899,0.3823095957438151,0.01069000570186647,30,400,"{'max_depth': 30, 'n_estimators': 400}",0.8586722096620657,0.8907331185874492,0.8457967967072298,0.8650673749855816,0.018894300034084266,12,1.0,1.0,1.0,1.0,0.0,0.7861035422343324,0.8144611186903138,0.7748976807639836,0.7918207805628766,0.016649955269543056,18,1.0,1.0,1.0,1.0,0.0
